clave_entidad,estado,clave_municipio,municipio,poblacion_total,analf,sbasc,ovsde,ovsee,ovsae,ovpt,vhac,pl.5000,po2sm,indice_marginacion_2020,grado_marginacion_2020,indice_marginacion_normalizado_2020,lugar_nacional,ancho_banda_bajada,ancho_banda_subida,conteo_registros
03,Baja California Sur,3003,LA PAZ,292241,1.7834456717366,19.8887418510135,0.436283241040426,1.07734423729988,2.36888978217026,2.10620076318152,11.9648609161377,9.81860861412328,48.3451124102027,59.8532531027085,Muy bajo,0.937218644289365,2402,13131.061728395061,1592.4674897119341,486
03,Baja California Sur,3008,LOS CABOS,351111,2.12214750303164,23.9446556825371,0.243318142806366,0.584837565989268,9.2894421999896,8.35166868572387,24.588451385498,3.45531754915112,38.138779847112,58.7357270060101,Muy bajo,0.919719740904642,2285,10780.845070422536,1768.5633802816901,142
03,Baja California Sur,3009,LORETO,18052,2.21215945364116,26.0318587178387,1.02000563539025,0.794590025359256,2.85714285714286,3.75986471251409,19.3513507843018,9.64436073565256,56.7009002155446,58.8193122984084,Muy bajo,0.921028570255816,2302,919.2727272727273,418.90909090909093,11
04,Campeche,4001,CALKINÍ,59232,9.26227440548536,31.8814538176745,7.37141502725764,0.619645819930247,1.79290962651949,2.07225815189788,33.9518737792969,28.3444759589411,78.9968398022851,55.3812819245503,Bajo,0.867193799395765,1488,11943.164179104477,1217.3373134328358,134
04,Campeche,4002,CAMPECHE,294077,3.3089015419437,22.9714984823178,0.716926792060446,0.3406770443188,0.655016606295684,0.980697331559162,24.1554927825928,9.92529167530953,67.7491462730907,58.6407010357592,Muy bajo,0.91823176646058,2270,25475.440860215054,15470.382795698926,372
04,Campeche,4003,CARMEN,248845,3.92886436102315,26.493563747519,0.666552166907934,0.663278032902189,5.7589289365426,2.4185764996483,27.367546081543,14.8594506620587,55.02895193978,58.0950832846142,Muy bajo,0.909688151827791,2176,9698.930402930402,1055.3201465201466,273
04,Campeche,4004,CHAMPOTÓN,78170,8.82638041214906,39.0098276375337,2.87374009386782,1.26952373624683,2.9583750096176,3.28648731823661,35.4528465270996,54.2036586925931,81.9154783845831,54.8325989080778,Bajo,0.858602186973956,1341,10041.048689138577,1023.8082397003745,267
04,Campeche,4005,HECELCHAKÁN,31917,8.41257603015506,30.9646192067164,5.3817703109328,0.501504513540622,2.28811434302909,1.33216311945585,33.1563720703125,34.1228812231726,80.4499490475817,55.6860046589221,Bajo,0.871965333325626,1572,11604.676923076922,1166.5723076923077,65
04,Campeche,4006,HOPELCHÉN,42140,8.30344827586207,42.9652926484135,7.92767071139662,1.22055674518201,1.21341898643826,2.60528194147038,39.5319213867188,80.9017560512577,86.2089317332284,53.6026514197597,Medio,0.839342921056186,1033,9673.398601398601,982.1090909090909,143
04,Campeche,4007,PALIZADA,8683,7.83180869844327,34.2802118440058,2.31481481481481,2.12962962962963,18.2523148148148,3.80787037037037,34.9664154052734,100.0,84.96,52.7603020275498,Medio,0.826152901893314,816,8640.810126582279,889.8430379746836,79
04,Campeche,4008,TENABO,11452,8.7776176753122,32.9130643611912,8.64888500218627,0.961958898119808,0.743331875819851,1.05815478793179,35.2614364624023,23.6115962277331,83.211220431233,55.1820078528213,Bajo,0.864073444767297,1439,9417.442622950819,944.2622950819672,61
04,Campeche,4009,ESCÁRCEGA,59923,8.92455628378702,38.7896184666906,3.22477703690018,1.29159038613346,1.7853843699088,4.86571826869783,35.7736701965332,47.64113946231,81.2576030873778,54.8902956416295,Bajo,0.859505637523358,1360,8164.46511627907,883.7953488372092,172
04,Campeche,4010,CALAKMUL,31714,13.2004310344828,39.1197453995717,3.91940119382244,1.79389192432808,21.9025360831254,9.93588731326785,46.4962577819824,81.9354228416472,88.6695906432749,50.7093716101968,Alto,0.794038185889743,437,8648.96,892.16,200
04,Campeche,4011,CANDELARIA,46913,11.2725782555244,44.0894281206043,6.25026765449017,6.98042910367864,11.5498265598904,8.65804573092404,39.5888442993164,76.294417325688,89.4839644634869,50.5139363387235,Alto,0.790977941530723,402,9847.63076923077,992.2953846153846,260
04,Campeche,4012,SEYBAPLAYA,15297,6.24240319499913,34.565141584201,3.58171817705605,0.589313776846517,6.31220534311158,0.825039287585123,28.1125431060791,37.7982610969471,81.9154783845831,55.8783319762054,Bajo,0.874976911447448,1625,0.0,0.0,0
05,Coahuila de Zaragoza,5001,ABASOLO,1022,2.2140221402214,33.3333333333333,0.19588638589618,0.0,0.39177277179236,0.0,8.83977890014648,100.0,72.9411764705882,57.8201477198815,Muy bajo,0.905383043518916,2123,2909.090909090909,427.05454545454546,44
05,Coahuila de Zaragoza,5002,ACUÑA,163058,1.68488316316042,27.1182470868173,0.169817937942619,0.316255145298935,0.590671088496065,0.896510561842,18.7693614959717,1.73741858725116,87.1673681708221,58.4817122918216,Muy bajo,0.915742223999208,2239,2560.0,384.0,2
05,Coahuila de Zaragoza,5003,ALLENDE,23056,2.08520582419558,25.8573092324178,0.234548060635017,0.0781826868783391,0.130304478130565,0.317074230117708,14.3858623504639,7.28660652324774,58.4453095566997,59.7938289954527,Muy bajo,0.936288145471786,2400,6180.9009009009005,744.936936936937,111
05,Coahuila de Zaragoza,5004,ARTEAGA,29578,3.69626168224299,31.3436315741311,0.926931957082711,0.454915806626833,3.13030488218918,2.21180307817756,18.1396427154541,47.4812360538238,58.2948929159802,58.0449869593202,Muy bajo,0.908903713094021,2168,1013.76,256.0,25
05,Coahuila de Zaragoza,5005,CANDELA,1643,7.41989881956155,46.1214165261383,0.791717417783191,0.426309378806334,0.913520097442144,0.730816077953715,18.9361705780029,100.0,75.6929637526652,55.9194917338476,Bajo,0.875621415969041,1634,832.0,256.0,2
05,Coahuila de Zaragoza,5006,CASTAÑOS,29128,1.59009759581052,23.401698343705,0.329976282954663,0.384972330113773,3.09696490564741,0.302478259375107,18.3783130645752,6.22768470200494,61.0263522884882,59.3106239603317,Muy bajo,0.928721827110563,2353,2048.0,256.0,1
05,Coahuila de Zaragoza,5007,CUATRO CIÉNEGAS,12715,3.65028292466437,33.7845334516809,1.01670870113493,2.60088272383354,6.0766078184111,1.56052963430013,19.4540157318115,18.2461659457334,68.3221476510067,57.220514347307,Muy bajo,0.895993619429459,1971,640.0,256.0,1
05,Coahuila de Zaragoza,5008,ESCOBEDO,3047,3.43563902885937,36.6926248282181,0.887865833607366,0.295955277869122,4.89970404472213,0.23018743834265,18.9636154174805,100.0,75.0,56.4434939150664,Bajo,0.883826560859725,1782,896.0,256.0,3
05,Coahuila de Zaragoza,5009,FRANCISCO I. MADERO,59035,2.88782020759928,30.1462392923721,0.971631085411968,0.162778079218665,1.53799196242348,1.11576484153765,17.4222393035889,44.6023545354451,77.5105146259629,57.8246734818765,Muy bajo,0.905453910653138,2125,6690.666666666667,1188.8,96
05,Coahuila de Zaragoza,5010,FRONTERA,82409,1.50098179518754,21.3390716173653,0.130125991146568,0.154448606314151,0.383081188889429,0.322274650970472,17.8412208557129,8.69686563360798,50.3102976753971,60.0842709636714,Muy bajo,0.940836062478594,2422,9011.2,1080.3200000000002,10
05,Coahuila de Zaragoza,5011,GENERAL CEPEDA,11898,4.67850005877513,32.7884621961409,1.92405492456349,0.449228682827598,1.51720630615359,0.829945799457995,21.1367664337158,53.4795763993949,74.961079398028,57.1210015864091,Muy bajo,0.894435388088245,1951,1166.2222222222222,256.0,9
05,Coahuila de Zaragoza,5012,GUERRERO,1643,6.92182410423453,39.6501144695781,1.28913443830571,0.675260896255371,1.04358502148557,0.98219766728054,14.2307691574097,100.0,90.8180300500835,55.6679087962824,Bajo,0.871681977301161,1565,1003.7894736842105,377.2631578947368,19
05,Coahuila de Zaragoza,5013,HIDALGO,1735,4.81611208406305,36.4476198057634,0.173210161662818,0.519630484988453,0.866050808314088,0.866050808314088,18.9409370422363,100.0,89.1156462585034,56.0716090813527,Bajo,0.878003361925379,1673,7850.666666666667,1134.4842105263158,171
05,Coahuila de Zaragoza,5014,JIMÉNEZ,9502,3.06374328444896,50.0386582992925,1.22068743976871,1.26351857800621,1.10290180961559,1.27422636256559,18.4355487823486,100.0,93.679858239811,55.4032123875801,Bajo,0.867537199925627,1497,2256.5925925925926,360.2962962962963,27
05,Coahuila de Zaragoza,5015,JUÁREZ,1584,2.86707211120765,41.201140824505,1.20101137800253,0.442477876106195,1.01137800252845,0.442477876106195,16.4948444366455,100.0,77.0017035775128,56.6770026083266,Muy bajo,0.887482982016175,1848,35983.810775295664,11353.684099868593,761
05,Coahuila de Zaragoza,5016,LAMADRID,1764,3.11572700296736,34.3726800296956,0.396825396825397,0.340136054421769,0.113378684807256,0.0,13.9240503311157,100.0,73.2965009208103,57.3261855621437,Muy bajo,0.897648283588476,1994,896.0,256.0,3
05,Coahuila de Zaragoza,5017,MATAMOROS,118337,3.09969282323373,30.3173233031761,0.788391613144391,0.108743670778537,0.865701566588507,1.41536683997689,17.7563800811768,41.7130736794071,69.9628627179455,58.1804004142075,Muy bajo,0.911024099339196,2186,15578.025575447571,8441.976470588235,391
